#Date,Time,Vendor,Site,Dept,filer,T1_GB,T3_GB,T3B_GB,T4_GB,aggr,total,used,avail 

2015-07-21,17:30,netapp,pg,itdrncnas01,pg-itdrncnas01,0,0,301,0,aggr0_pg_itdrncnas01_01,744,301,443
2015-07-21,17:30,netapp,pg,itdrncnas01,pg-itdrncnas01,0,76320,0,0,n01_sata_1000_01,137062,76320,60742
2015-07-21,17:30,netapp,pg,itdrncnas01,pg-itdrncnas01,0,151666,0,0,n01_sata_2000_01,348692,151666,197025
2015-07-21,17:30,netapp,sj,itnas01a,sj-itnas01a,121408,0,0,0,sas64_450_01,140295,121408,18886
2015-07-21,17:30,netapp,sj,itnas01a,sj-itnas01a,0,48077,0,0,sata64_1000_01,67041,48077,18964
2015-07-21,17:30,netapp,sj,itnas01a,sj-itnas01a,37434,0,0,0,sas64_450_600_01,46186,37434,8752
2015-07-21,17:30,netapp,sj,itnas01a,sj-itnas01a,0,10917,0,0,sata01,14153,10917,3235
2015-07-21,17:30,netapp,sj,itnas01a,sj-itnas01a,2016,0,0,0,sas64_600_NAS_TEST,2938,2016,922
2015-07-21,17:30,netapp,sj,itnas01a,sj-itnas01a,433,0,0,0,sas32_450_root,734,433,301
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,8963,0,0,sata06,13408,8963,4444
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,11351,0,0,sata12,14153,11351,2801
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,9319,0,0,sata09,11918,9319,2598
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,9277,0,0,sata07,10428,9277,1150
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,2825,0,0,sata08,7449,2825,4623
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,17994,0,0,sata64_1000_01,26816,17994,8822
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,92456,0,0,0,sas64_450_600_01,105221,92456,12765
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,333,0,0,0,sas32_450_root,367,333,34
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,19824,0,0,sata64_1000_03,26816,19824,6991
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,9077,0,0,sata01,10428,9077,1350
2015-07-21,17:30,netapp,sj,itnas01b,sj-itnas01b,0,6464,0,0,sata02,10428,6464,3964
2015-07-21,17:30,netapp,sj,swnas01a,sj-swnas01a,0,22647,0,0,sata01_64,26071,22647,3424
2015-07-21,17:30,netapp,sj,swnas01a,sj-swnas01a,35834,0,0,0,sas01_64,41194,35834,5359
2015-07-21,17:30,netapp,sj,swnas01b,sj-swnas01b,5958,0,0,0,sas01_64,8859,5958,2900
2015-07-21,17:30,netapp,nl,swnas01a,nl-swnas01a,0,7615,0,0,sata01,13408,7615,5793
2015-07-21,17:30,netapp,nl,swnas01a,nl-swnas01a,8277,0,0,0,sas01,9843,8277,1565
2015-07-21,17:30,netapp,nl,swnas01b,nl-swnas01b,7289,0,0,0,sas01,9843,7289,2553
2015-07-21,17:30,netapp,uk,itnas01,uk-itnas01,0,16998,0,0,sata01_64,26816,16998,9817
2015-07-21,17:30,netapp,uk,itnas01,uk-itnas01,25421,0,0,0,sas01_64,29530,25421,4108
2015-07-21,17:30,netapp,uk,itnas02,uk-itnas02,23385,0,0,0,sas01_64,29530,23385,6144
2015-07-21,17:30,netapp,uk,itnas02,uk-itnas02,0,26197,0,0,sata01_64,26816,26197,619
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,18046,0,0,0,fc_aggr0,22041,18046,3995
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,46589,0,0,0,sas01_64,56574,46589,9984
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,2745,0,0,0,fc_aggr1,9551,2745,6806
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,0,66045,0,0,sata01_64,107266,66045,41220
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,0,415,0,0,sata_aggr3,4469,415,4054
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,0,7281,0,0,sata_aggr1,14153,7281,6871
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,0,5525,0,0,sata_aggr2,10428,5525,4902
2015-07-21,17:30,netapp,pg,itnas03a,pg-itnas03a,0,3001,0,0,sata02_64,13408,3001,10406
2015-07-21,17:30,netapp,pg,itnas03b,pg-itnas03b,51291,0,0,0,sas01_64,112780,51291,61489
2015-07-21,17:30,netapp,pg,itnas03b,pg-itnas03b,4119,0,0,0,sas_aggr1,6612,4119,2493
2015-07-21,17:30,netapp,pg,itnas03b,pg-itnas03b,5856,0,0,0,fc_aggr1,14694,5856,8837
2015-07-21,17:30,netapp,pg,itnas03b,pg-itnas03b,6175,0,0,0,fc_aggr0,14327,6175,8151
